Unnamed: 0,Initial dates,End dates,Latitud,Longitudes,Cloudiness Mean,Water percentage Mean,Vegetation percentage Mean,Year,Month,Duration_Days
409,2023-08-26,2023-11-26,-16.45619320826612,31.43624434290064,0.2006676666666667,0.1399696666666667,39.38891566666667,2023,8,92
410,2021-06-24,2021-09-24,-11.64070304953026,-65.98089259736497,0.6070740909090908,1.698375636363637,93.33431681818185,2021,6,92
411,2022-02-03,2022-05-03,-23.6749808941916,32.00820810073688,0.912817,1.128052,46.6620865,2022,2,89
412,2020-03-06,2020-06-06,32.13293411777542,-116.0882729037401,2.272299,14.8020475,28.9236605,2020,3,92
413,2017-04-06,2017-07-06,36.61989491648882,42.05373898764876,0.101,0.017455,21.165211,2017,4,91
414,2020-04-17,2020-07-17,-26.2843385871011,-56.08963819990245,0.8697053,0.0214135,93.6755139,2020,4,91
415,2020-06-20,2020-09-20,-5.986423232732776,31.63468778857961,0.2315017142857143,0.342703,68.61146771428571,2020,6,92
416,2022-03-16,2022-06-16,-11.90156279542445,-47.32215767065219,0.6942467857142857,0.4642015,88.12875507142857,2022,3,92
417,2022-06-25,2022-09-25,32.11348155591618,73.66868794095538,2.0034,0.7410706,65.3646614,2022,6,92
418,2021-08-22,2021-11-22,12.82332970300808,105.4843673083118,1.934584,2.163918,90.002668,2021,8,92
419,2023-07-21,2023-10-21,-6.674819350013372,-40.79414808336946,0.0650673333333333,0.1071411666666667,26.63817766666666,2023,7,92
420,2019-08-10,2019-11-10,6.658179103554048,14.18666393953089,0.034582,0.002068,99.317443,2019,8,92
421,2020-07-26,2020-10-26,-13.31574610280708,-53.64943234161171,0.9658333478260872,0.1812088260869565,68.91548791304346,2020,7,92
422,2017-09-04,2017-12-04,37.17040142093931,-8.477932338973886,0.0381833333333333,22.65652683333333,22.602185,2017,9,91
423,2022-08-26,2022-11-26,25.31752532551593,-111.7901777496264,0.6281236,15.666909,39.4863204,2022,8,92
424,2022-04-22,2022-07-22,14.07277089320431,76.77115415758496,3.5630125,1.197883,30.4603905,2022,4,91
425,2022-02-10,2022-05-10,36.81687593284804,6.275125973137904,0.8939225,15.09882983333333,46.02484233333333,2022,2,89
426,2021-04-25,2021-07-25,-27.07155189704157,-64.62567910062772,1.179829,0.116729,52.49777544444444,2021,4,91
427,2019-07-11,2019-10-11,37.96278621371833,-108.0539456096608,1.0955775,0.2271206785714286,53.83274735714284,2019,7,92
428,2022-04-13,2022-07-13,-36.6435075742103,-61.39536785689859,0.0229385,1.128762166666667,49.56304166666666,2022,4,91
429,2017-01-25,2017-04-25,37.24391525530163,9.346123393744875,0.273,26.707235,21.435934,2017,1,90
430,2019-03-25,2019-06-25,-17.24754360977648,-55.33886632099644,0.9037065,0.2139885,95.606630375,2019,3,92
